stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,source
43274,31858,PORT AUTHORITY BUS TERMINAL,,40.756209,-73.991001,0,bus
43283,31890,NEWARK PENN STATION,,40.734928,-74.164003,0,bus
43310,31899,PORT AUTHORITY DROP OFF,,40.756707,-73.992134,0,bus
43314,31921,PORT AUTHORITY BUS TERMINAL,,40.757428,-73.993003,0,bus
43616,32306,SECAUCUS RD 1223'E OF 16TH ST,,40.765128,-74.054723,0,bus
43618,32468,SECAUCUS JUNCTION BUS PLAZA,,40.761988,-74.073572,0,bus
43619,32469,SECAUCUS JUNCTION BUS PLAZA,,40.761749,-74.074161,0,bus
43620,32470,SECAUCUS JUNCTION BUS PLAZA,,40.761588,-74.074543,0,bus
43621,32471,SECAUCUS JUNCTION BUS PLAZA,,40.761497,-74.074652,0,bus
43622,32472,SECAUCUS JUNCTION BUS PLAZA,,40.761459,-74.07487,0,bus
43861,32872,NEW YORK AVE AT 17TH ST,,40.762708,-74.03399,0,bus
