property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,distance_miles,transit_stop,transit_type,stop_lat,stop_lon
https://www.realtor.com/realestateandhomes-detail/9810048877,HCNJ,250007716,FOR_SALE,CONDOS,118 Corbin Ave,Apt B1,Jersey City,NJ,07306,2,1,,639,,199000,2025-04-21,,,,311,40.734467,-74.069771,2,540,,0.4350489934293529,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/5806724569,HCNJ,250006890,FOR_SALE,CONDOS,45 Broadway None,Unit 302,Jersey City,NJ,07306,3,2,1,1710,,600000,2025-04-09,585000,2019-01-29,,351,40.735211,-74.069415,2,1139,1,0.44077756136561863,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/6671030424,HCNJ,250009539,FOR_SALE,CONDOS,45 Broadway None,Unit 204,Jersey City,NJ,07306,2,2,,1012,,535000,2025-05-14,465000,2017-11-02,,529,40.735133,-74.069519,2,690,,0.4429314081073734,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9344294280,HCNJ,250008216,FOR_SALE,CONDOS,24 Romaine Ave,Unit B2,Jersey City,NJ,07306,3,2,,1671,,850000,2025-04-28,,,,509,40.730507,-74.070305,,,1,0.44324241015134996,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9764548148,HCNJ,250008215,FOR_SALE,CONDOS,24 Romaine Ave,Unit A1,Jersey City,NJ,07306,2,1,1,837,,650000,2025-04-28,,,,777,40.730507,-74.070305,,,,0.44324241015134996,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9065017961,HCNJ,250008217,FOR_SALE,CONDOS,24 Romaine Ave,Unit C3,Jersey City,NJ,07306,3,2,,2041,,875000,2025-04-28,,,,429,40.730507,-74.070305,,,1,0.44324241015134996,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9291388950,BCNJ,25006680,FOR_SALE,MULTI_FAMILY,5 Elm St,,Newark,NJ,07102,8,4,,,,899000,2025-05-23,,,,,40.730301,-74.171303,,,,0.44571523232975346,NEWARK PENN STATION,rail,40.734221,-74.164554
https://www.realtor.com/realestateandhomes-detail/5585641323,HCNJ,250008310,FOR_SALE,MULTI_FAMILY,35 Romain Ave,,Jersey City,NJ,07306,6,5,,,,1421000,2025-04-29,400000,2018-06-27,2500,,40.731068,-74.070533,2,,3,0.4473341646180958,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/5487618932,HCNJ,250005881,FOR_SALE,CONDOS,82 Clinton St,Apt 3F,Hoboken,NJ,07030,2,2,,1065,,850000,2025-03-27,720000,2022-09-13,,798,40.737559,-74.035904,2,529,1,0.4530257579738175,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/5577257646,HCNJ,250009784,FOR_SALE,CONDOS,61 Skillman Ave,Unit 3A,Jersey City,NJ,07306,3,2,1,1765,,895000,2025-05-15,782500,2020-06-01,,507,40.738519,-74.06374,,454,,0.4538825453007387,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
